NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
BONAV-B.ST;BONAVA B;65.2;103;53.7;110;57.1;140;58.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST
BONG.ST;BONG;46.7;107;42.4;125;44.1;158;44.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST
BOOZT.ST;BOOZT;53.8;134;57.1;134;57.1;134;56.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST
BORG.ST;BJORN BORG;56.2;138;56.2;138;53.0;224;55.1;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST
BOUL.ST;BOULE DIAGNOSTICS;75.0;125;71.9;211;75.0;1343;74.0;559;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST
BRAV.ST;BRAVIDA HOLDING;73.7;115;62.2;113;49.4;106;61.8;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST
BRE2.ST;BREDBAND2 I SKANDINAVIEN;36.8;116;37.0;114;42.1;151;38.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST
BRG-B.ST;BERGS TIMBER B;47.4;100;51.4;111;46.7;113;48.5;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST
BRIG.ST;BRIGHTER AB;65.0;227;64.7;390;64.1;1159;64.6;592;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;68.4;212;66.7;355;66.7;355;67.3;307;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST
BRIN-B.ST;BRINOVA FASTIGHETER;37.5;93;37.5;94;42.3;102;39.1;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST
BRIOX.NGM;BRIOX;42.9;96;48.4;128;38.8;107;43.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM
BTS-B.ST;BTS GROUP B;70.6;104;54.3;95;47.8;102;57.6;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST
BUFAB.ST;BUFAB;71.4;122;63.4;169;63.3;306;66.0;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST
BULTEN.ST;BULTEN;46.7;106;68.6;149;58.7;190;58.0;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST
BURE.ST;BURE EQUITY;46.2;96;57.6;131;54.7;198;52.8;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST
BUSER.ST;BAMBUSER;70.0;101;70.8;106;70.8;106;70.5;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST
BWL.ST;BRINGWELL;;;;;;;;;
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;55.6;127;52.2;121;50.0;119;52.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST
CAMX.ST;CAMURUS;82.4;110;78.8;144;73.8;352;78.3;202;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST
CANTA.ST;CANTARGIA;64.3;158;70.4;240;62.5;276;65.7;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST
